District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
HORIZON MONTESSORI PUBLIC SCHOOLS,Texas,1350,0.29,0.05,17.06,0.846,0
HOUSTON GATEWAY ACADEMY INC,Texas,2218,0.34,0.03,19.01,0.625,0
HOUSTON ISD,Texas,216106,0.29,0.07,18.72,0.959,0
HOWE ISD,Texas,1066,0.04,0.09,12.75,0.932,0
HUDSON ISD,Texas,2846,0.06,0.08,14.98,0.932,0
HUFFMAN ISD,Texas,3443,0.05,0.08,15.56,0.933,0
HUGHES SPRINGS ISD,Texas,1261,0.03,0.08,12.63,1.083,0
HUMBLE ISD,Texas,41224,0.08,0.08,15.39,0.895,0
HUNTINGTON ISD,Texas,1724,0.01,0.09,13.9,0.927,0
HUNTSVILLE ISD,Texas,7260,0.11,0.08,18.16,0.982,0
HURST-EULESS-BEDFORD ISD,Texas,23120,0.13,0.09,17,0.897,0
HUTTO ISD,Texas,6945,0.09,0.11,15.9,0.968,0
IDALOU ISD,Texas,1026,0.02,0.08,13.14,0.853,0
IDEA PUBLIC SCHOOLS,Texas,29335,0.31,0.05,22.93,0.769,0
INDUSTRIAL ISD,Texas,1212,0.04,0.09,13.06,0.87,0
INGLESIDE ISD,Texas,2193,0.07,0.09,14.68,0.977,0
INGRAM ISD,Texas,1097,0.12,0.09,14.29,1.509,0
INSPIRED VISION ACADEMY,Texas,1128,0.37,0.09,14.98,0.823,0
INTERNATIONAL LEADERSHIP OF TEXAS (ILT),Texas,10239,0.23,0.04,15.17,0.91,0
IOWA PARK CISD,Texas,1847,0.01,0.11,14.43,0.908,0
IRVING ISD,Texas,34792,0.35,0.07,15.24,0.937,0
JACKSBORO ISD,Texas,1007,0.14,0.1,12.67,0.798,0
JACKSONVILLE ISD,Texas,4953,0.25,0.09,14.59,1.26,0
JARRELL ISD,Texas,1491,0.13,0.1,13.81,1.448,0
JASPER ISD,Texas,2464,0.07,0.11,13.81,0.937,0
JEFFERSON ISD,Texas,1262,0.01,0.11,12.92,0.919,0
JIM HOGG COUNTY ISD,Texas,1181,0.07,0.08,14.23,1.114,0
JOSHUA ISD,Texas,5307,0.08,0.07,14.3,1.003,0
JOURDANTON ISD,Texas,1576,0.02,0.08,13.06,1.022,0
JUBILEE ACADEMIC CENTER,Texas,4731,0.18,0.07,15.78,0.897,0
JUDSON ISD,Texas,23037,0.08,0.1,16.79,1.087,0
KARNES CITY ISD,Texas,1073,0.04,0.11,12.74,0.88,0
KATY ISD,Texas,75428,0.15,0.09,15.1,0.977,0
KAUFMAN ISD,Texas,3848,0.15,0.09,14.87,1.067,0
KEENE ISD,Texas,1058,0.19,0.08,12.58,0.939,0
KELLER ISD,Texas,34660,0.07,0.09,15.09,1.048,0
KEMP ISD,Texas,1542,0.07,0.11,13.75,0.863,0
KENNEDALE ISD,Texas,3140,0.07,0.09,15.25,0.897,0
KERMIT ISD,Texas,1404,0.16,0.09,15.82,0.94,0
KERRVILLE ISD,Texas,4991,0.06,0.08,14.94,0.879,0
KILGORE ISD,Texas,4090,0.17,0.08,14.78,0.916,0
KILLEEN ISD,Texas,43782,0.09,0.11,15.31,0.917,0
KINGSVILLE ISD,Texas,3422,0.03,0.11,17.51,1.029,0
KIPP AUSTIN PUBLIC SCHOOLS INC,Texas,4990,0.48,0.08,15.22,0.792,0
KIPP DALLAS-FORT WORTH,Texas,1997,0.19,0.05,26.63,0.76,0
KIPP INC CHARTER,Texas,13347,0.28,0.06,20.39,0.861,0
KIPP SAN ANTONIO,Texas,2947,0.29,0.08,17.86,0.807,0
KIRBYVILLE CISD,Texas,1537,0.02,0.07,14.85,1.471,0
KLEIN ISD,Texas,51810,0.14,0.09,15.32,1.067,0
KOUNTZE ISD,Texas,1173,0.03,0.09,12.84,0.927,0
KRUM ISD,Texas,2093,0.08,0.11,13.27,0.921,0
LA ACADEMIA DE ESTRELLAS,Texas,1083,0.43,0.1,19.42,0.811,0
LA FERIA ISD,Texas,3565,0.14,0.09,14.87,0.946,0
LA GRANGE ISD,Texas,1997,0.12,0.08,14.04,0.882,0
LA JOYA ISD,Texas,29500,0.48,0.07,14.87,0.978,0
LA PORTE ISD,Texas,7713,0.09,0.11,15.58,1.109,0
LA VEGA ISD,Texas,3116,0.21,0.07,15.48,0.918,0
LA VERNIA ISD,Texas,3288,0.03,0.09,15.84,0.82,0
LACKLAND ISD,Texas,1038,0.01,0.12,12.45,0.885,0
LAGO VISTA ISD,Texas,1449,0.04,0.09,14.98,0.861,0
LAKE DALLAS ISD,Texas,3963,0.08,0.11,14.24,0.927,0
LAKE TRAVIS ISD,Texas,9825,0.05,0.08,16.92,1.017,0
LAKE WORTH ISD,Texas,3507,0.2,0.09,14.72,0.908,0
LAMAR CISD,Texas,30829,0.12,0.08,16.41,1.229,0
LAMESA ISD,Texas,2014,0.05,0.09,15.1,1.277,0
LAMPASAS ISD,Texas,3370,0.03,0.11,14.64,0.906,0
LANCASTER ISD,Texas,7640,0.07,0.08,17.92,0.941,0
LAREDO ISD,Texas,24237,0.51,0.08,16.71,1.038,0
LEANDER ISD,Texas,38226,0.05,0.11,15.12,1.092,0
LEGACY PREPARATORY,Texas,1362,0.33,0.07,16.55,0.921,0
LEVELLAND ISD,Texas,3011,0.07,0.14,13.06,1.239,0
LEWISVILLE ISD,Texas,53257,0.14,0.11,13.96,1.005,0
LIBERTY HILL ISD,Texas,3677,0.03,0.09,14.66,0.997,0
LIBERTY ISD,Texas,2143,0.15,0.09,15.13,1.029,0
LIBERTY-EYLAU ISD,Texas,2543,0.01,0.13,12.97,0.935,0
LIFE SCHOOL,Texas,5668,0.1,0.07,16.09,0.754,0
LINDALE ISD,Texas,4046,0.04,0.11,14.62,0.867,0
LITTLE CYPRESS-MAURICEVILLE CISD,Texas,3355,0.02,0.13,14.05,1.206,0
LITTLE ELM ISD,Texas,7375,0.17,0.08,16.29,0.905,0
LITTLEFIELD ISD,Texas,1394,0.05,0.11,14.32,1.023,0
LIVINGSTON ISD,Texas,4069,0.07,0.1,14.51,1,0
LLANO ISD,Texas,1859,0.05,0.11,13.98,1.106,0
LOCKHART ISD,Texas,5680,0.18,0.11,16.3,1.012,0
LONE OAK ISD,Texas,1032,0.01,0.13,12.22,0.851,0
LONGVIEW ISD,Texas,8705,0.18,0.08,14.98,0.897,0
LORENA ISD,Texas,1696,0.02,0.08,14.47,1.365,0
LOS FRESNOS CISD,Texas,10840,0.2,0.09,16.18,0.991,0
LOVEJOY ISD,Texas,4070,0.01,0.07,13.88,1.088,0
LUBBOCK ISD,Texas,28515,0.04,0.11,14.21,1.004,0
LUBBOCK-COOPER ISD,Texas,5969,0.02,0.08,13.78,1.041,0
LUFKIN ISD,Texas,8216,0.17,0.1,13.84,0.957,0
LULING ISD,Texas,1445,0.12,0.08,15.65,0.968,0
LUMBERTON ISD,Texas,3911,0.02,0.09,15.49,0.951,0
LYFORD CISD,Texas,1569,0.09,0.08,14.42,1.282,0
LYTLE ISD,Texas,1600,0.09,0.08,13.93,0.973,0
MABANK ISD,Texas,3459,0.02,0.11,14.76,0.855,0
MADISONVILLE CISD,Texas,2319,0.13,0.07,14.09,0.844,0
MAGNOLIA ISD,Texas,12816,0.12,0.09,15.2,0.916,0
MALAKOFF ISD,Texas,1357,0.04,0.08,13.08,0.97,0
MANOR ISD,Texas,8870,0.34,0.08,16.02,1.05,0
MANSFIELD ISD,Texas,34309,0.09,0.09,15.77,1.085,0
MARBLE FALLS ISD,Texas,4283,0.14,0.11,13.61,0.94,0
MARION ISD,Texas,1443,0.03,0.09,14.04,0.814,0
MARSHALL ISD,Texas,5492,0.17,0.06,14.38,0.956,0
MATHIS ISD,Texas,1686,0.03,0.09,14.79,0.912,0
MAYPEARL ISD,Texas,1099,0.04,0.08,15.36,0.978,0
MCALLEN ISD,Texas,23826,0.29,0.09,14.75,0.945,0
MCGREGOR ISD,Texas,1461,0.11,0.07,12.65,1.412,0
MCKINNEY ISD,Texas,24851,0.1,0.11,14.88,0.954,0
MEDINA VALLEY ISD,Texas,4705,0.05,0.1,17.29,0.936,0
MELISSA ISD,Texas,2630,0.03,0.09,15.55,1.144,0
MERCEDES ISD,Texas,5538,0.24,0.07,14.14,1.24,0
MERIDIAN WORLD SCHOOL LLC,Texas,1421,0.03,0.06,16.06,0.719,0
MERKEL ISD,Texas,1105,0.02,0.13,11.69,1.551,0
MESQUITE ISD,Texas,41038,0.22,0.1,15.72,0.959,0
MEXIA ISD,Texas,1821,0.16,0.11,13.25,0.938,0
MIDLAND ISD,Texas,24692,0.11,0.07,15.69,1.323,0
MIDLOTHIAN ISD,Texas,8441,0.03,0.1,15.85,1.02,0
MIDWAY ISD,Texas,7898,0.03,0.08,16.06,1.054,0
MINEOLA ISD,Texas,1625,0.09,0.08,12.93,1.05,0
MINERAL WELLS ISD,Texas,3266,0.08,0.09,13.87,1.451,0
MISSION CISD,Texas,15882,0.3,0.07,15.78,1.084,0
MONAHANS-WICKETT-PYOTE ISD,Texas,2327,0.08,0.08,16.19,0.888,0
MONTE ALTO ISD,Texas,1075,0.29,0.05,13.86,0.857,0
MONTGOMERY ISD,Texas,8296,0.02,0.07,15.98,0.97,0
MOUNT PLEASANT ISD,Texas,5329,0.35,0.1,14.15,0.981,0
MOUNT VERNON ISD,Texas,1618,0.09,0.1,13.08,1.42,0
MULESHOE ISD,Texas,1453,0.18,0.13,12.54,0.929,0
NACOGDOCHES ISD,Texas,6382,0.26,0.08,15.35,0.928,0
NATALIA ISD,Texas,1085,0.06,0.1,13.72,0.891,0
NAVARRO ISD,Texas,1812,0.04,0.07,16.1,0.868,0
NAVASOTA ISD,Texas,3047,0.17,0.08,13.35,0.863,0
NEDERLAND ISD,Texas,5254,0.07,0.1,14.96,1.188,0
NEEDVILLE ISD,Texas,3181,0.09,0.1,16.38,0.845,0
NEW BOSTON ISD,Texas,1345,0.02,0.13,10.97,1.235,0
NEW BRAUNFELS ISD,Texas,8610,0.08,0.08,16.77,0.987,0
NEW CANEY ISD,Texas,14677,0.27,0.09,15.35,1.053,0
NEW DIANA ISD,Texas,1080,0.02,0.05,14.95,0.865,0
NEW WAVERLY ISD,Texas,1024,0.04,0.09,12.34,0.934,0
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,Texas,2208,0.09,0.05,11.57,0.913,0
NIXON-SMILEY CISD,Texas,1069,0.13,0.11,12.87,0.592,0
NORTH EAST ISD,Texas,67531,0.11,0.1,15.67,1.137,0
NORTH LAMAR ISD,Texas,2701,0.02,0.14,10.73,0.937,0
NORTHSIDE ISD,Texas,106145,0.08,0.12,15.38,1.05,0
NORTHWEST ISD,Texas,22044,0.05,0.09,15.26,1.239,0
ODEM-EDROY ISD,Texas,1007,0.03,0.06,14.44,0.928,0
ODYSSEY ACADEMY INC,Texas,1126,0.17,0.1,14.83,0.802,0
ONALASKA ISD,Texas,1027,0.01,0.11,13.81,1.012,0
ORANGE GROVE ISD,Texas,1927,0.02,0.1,15.57,0.957,0
ORANGEFIELD ISD,Texas,1759,0.02,0.08,14.32,1.081,0
ORENDA CHARTER SCHOOL,Texas,1463,0.01,0.08,16.94,0.744,0
PALACIOS ISD,Texas,1446,0.14,0.1,13.92,0.999,0
PALESTINE ISD,Texas,3455,0.15,0.09,13.11,1.06,0
PALMER ISD,Texas,1187,0.08,0.13,13.82,1.948,0
PAMPA ISD,Texas,3642,0.16,0.11,14.08,1.105,0
PARADISE ISD,Texas,1173,0.03,0.1,12.59,0.913,0
PARIS ISD,Texas,3642,0.09,0.13,11.64,0.911,0
PASADENA ISD,Texas,56282,0.28,0.1,14.63,1.072,0
PEARLAND ISD,Texas,21585,0.07,0.09,16.07,0.93,0
PEARSALL ISD,Texas,2247,0.05,0.1,13.45,0.864,0
PEASTER ISD,Texas,1119,0.03,0.09,10.98,1.651,0
PECOS-BARSTOW-TOYAH ISD,Texas,2486,0.1,0.09,13.82,0.948,0
PERRYTON ISD,Texas,2330,0.27,0.07,11.75,1.048,0
PFLUGERVILLE ISD,Texas,24591,0.2,0.1,14.15,1.039,0
PHARR-SAN JUAN-ALAMO ISD,Texas,32203,0.39,0.07,15.48,0.973,0
PILOT POINT ISD,Texas,1362,0.22,0.08,12.26,0.885,0
PINE TREE ISD,Texas,4659,0.13,0.08,14.3,0.959,0
PINEYWOODS COMMUNITY ACADEMY,Texas,1038,0.05,0.07,15.53,0.81,0
PITTSBURG ISD,Texas,2421,0.17,0.1,11.6,0.956,0
PLAINVIEW ISD,Texas,5603,0.05,0.09,15.3,1.075,0
PLANO ISD,Texas,54173,0.13,0.11,13.87,0.922,0
PLEASANT GROVE ISD,Texas,2127,0.02,0.1,13.4,0.885,0
PLEASANTON ISD,Texas,3482,0.03,0.08,14.87,0.963,0
POINT ISABEL ISD,Texas,2483,0.34,0.09,16.42,0.949,0
PONDER ISD,Texas,1330,0.07,0.08,14.2,0.907,0
PORT ARTHUR ISD,Texas,8898,0.24,0.07,16.35,0.914,0
PORT NECHES-GROVES ISD,Texas,5025,0.04,0.09,13.89,0.922,0
POTEET ISD,Texas,1769,0.05,0.08,15.01,1.362,0
POTTSBORO ISD,Texas,1409,0.01,0.1,15.04,0.926,0
PRAIRILAND ISD,Texas,1128,0.02,0.1,13.24,0.87,0
PREMIER HIGH SCHOOLS,Texas,7038,0.18,0.1,30.63,0.836,0
PRESIDIO ISD,Texas,1344,0.5,0.06,12.57,0.919,0
PRINCETON ISD,Texas,4160,0.16,0.12,15.69,1.167,0
PROGRESO ISD,Texas,1859,0.47,0.07,12.39,0.837,0
PROMISE COMMUNITY SCHOOL,Texas,1940,0.23,0.08,19.21,0.813,0
PROSPER ISD,Texas,9998,0.03,0.07,15.44,1.106,0
QUEEN CITY ISD,Texas,1033,0,0.1,12.57,0.924,0
QUINLAN ISD,Texas,2627,0.09,0.12,15.75,0.962,0
QUITMAN ISD,Texas,1116,0.04,0.1,12.68,0.855,0
RAINS ISD,Texas,1686,0.06,0.11,13.32,0.96,0
RANDOLPH FIELD ISD,Texas,1429,0.01,0.07,14.22,0.799,0
RAUL YZAGUIRRE SCHOOL FOR SUCCESS,Texas,1331,0.5,0.06,17.57,0.883,0
RAYMONDVILLE ISD,Texas,2067,0.07,0.08,13.99,0.902,0
RED OAK ISD,Texas,5749,0.09,0.11,16.16,0.921,0
REDWATER ISD,Texas,1117,0.01,0.1,10.76,1.029,0
RICE CISD,Texas,1338,0.08,0.11,12.94,0.922,0
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Texas,2219,0.03,0.11,22.13,0.787,0
RICHARDSON ISD,Texas,39268,0.24,0.11,15.2,0.97,0
RIO GRANDE CITY CISD,Texas,10812,0.64,0.1,13.77,0.935,0
RIO HONDO ISD,Texas,1969,0.11,0.09,13.52,0.931,0
RIVER ROAD ISD,Texas,1289,0.03,0.1,14.07,0.907,0
ROBINSON ISD,Texas,2302,0.02,0.09,12.99,1.092,0
ROBSTOWN ISD,Texas,2797,0.03,0.11,14.73,0.993,0
ROCKDALE ISD,Texas,1540,0.05,0.09,13.24,0.944,0
ROCKWALL ISD,Texas,15822,0.07,0.1,16.52,0.905,0
ROMA ISD,Texas,6551,0.62,0.06,14.64,1.037,0
ROOSEVELT ISD,Texas,1064,0.03,0.1,11.45,0.863,0
ROUND ROCK ISD,Texas,48321,0.09,0.09,14.3,0.95,0
ROYAL ISD,Texas,2365,0.37,0.08,14.25,0.965,0
ROYSE CITY ISD,Texas,5464,0.1,0.09,15.13,0.928,0
RUSK ISD,Texas,2154,0.05,0.12,13.84,0.852,0
SABINE ISD,Texas,1457,0.08,0.08,13.58,1.362,0
SALADO ISD,Texas,1756,0.06,0.06,15.27,0.889,0
SAN ANGELO ISD,Texas,15071,0.04,0.1,15.97,0.927,0
SAN ANTONIO ISD,Texas,52514,0.17,0.1,16.28,1.234,0
SAN BENITO CISD,Texas,10643,0.21,0.09,15.64,0.925,0
SAN DIEGO ISD,Texas,1377,0.02,0.08,14.68,1.355,0
SAN ELIZARIO ISD,Texas,3881,0.45,0.09,15.79,0.939,0
SAN FELIPE-DEL RIO CISD,Texas,10536,0.16,0.09,16.54,0.991,0
SAN MARCOS CISD,Texas,8090,0.09,0.11,14.7,1.187,0
SANGER ISD,Texas,2686,0.07,0.1,14.41,1.05,0
SANTA FE ISD,Texas,4774,0.03,0.1,17.25,0.902,0
SANTA ROSA ISD,Texas,1112,0.13,0.1,13.4,0.895,0
SCHERTZ-CIBOLO-U CITY ISD,Texas,15497,0.04,0.08,16.83,1.226,0
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,1238,0.1,0.07,14.61,0.79,0
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,Texas,1534,0.11,0.06,15.1,0.868,0
SCURRY-ROSSER ISD,Texas,1014,0.03,0.11,13.17,0.914,0
SEALY ISD,Texas,2845,0.13,0.09,14.39,0.95,0
SEGUIN ISD,Texas,7425,0.09,0.1,15.54,1.057,0
SEMINOLE ISD,Texas,2825,0.14,0.08,13.25,0.888,0
SER-NINOS CHARTER SCHOOL,Texas,1108,0.74,0.04,17.36,0.741,0
SHALLOWATER ISD,Texas,1675,0.02,0.08,12.66,0.98,0
SHARYLAND ISD,Texas,10054,0.27,0.06,16.34,0.965,0
SHELDON ISD,Texas,8884,0.25,0.07,16.07,1.006,0
SHEPHERD ISD,Texas,2012,0.14,0.07,15.32,0.92,0
SHERMAN ISD,Texas,7380,0.19,0.12,13.61,0.87,0
SILSBEE ISD,Texas,2844,0.01,0.11,13.85,1.288,0
SINTON ISD,Texas,2168,0.01,0.11,14.13,1.2,0
SLATON ISD,Texas,1250,0.05,0.12,11.87,0.958,0
SMITHVILLE ISD,Texas,1759,0.06,0.09,11.77,0.872,0
SNYDER ISD,Texas,2833,0.09,0.09,14.6,1.035,0
SOCORRO ISD,Texas,45927,0.2,0.09,17.73,1.08,0
SOMERSET ISD,Texas,4067,0.14,0.09,15.22,0.992,0
SOUTH SAN ANTONIO ISD,Texas,9631,0.15,0.08,15.67,0.943,0
SOUTH TEXAS ISD,Texas,3848,0.03,0.02,12.98,1.037,0
SOUTHSIDE ISD,Texas,5713,0.16,0.11,14.66,0.984,0
SOUTHWEST ISD,Texas,13891,0.15,0.11,15.51,1.497,0
SOUTHWEST SCHOOL,Texas,1839,0.46,0.09,19.97,0.917,0
SPLENDORA ISD,Texas,3886,0.13,0.09,15.48,0.888,0
SPRING BRANCH ISD,Texas,35079,0.31,0.07,15.62,0.968,0
SPRING HILL ISD,Texas,1935,0.06,0.08,14.3,0.89,0
SPRING ISD,Texas,36698,0.21,0.08,17.05,0.915,0
SPRINGTOWN ISD,Texas,3477,0.04,0.08,14.65,0.891,0
STAFFORD MSD,Texas,3539,0.15,0.08,16.85,0.965,0
STEPHENVILLE ISD,Texas,3689,0.1,0.07,14.94,0.873,0
SULPHUR SPRINGS ISD,Texas,4411,0.12,0.1,12.71,0.97,0
SUNNYVALE ISD,Texas,1738,0.03,0.09,15.43,0.978,0
SWEENY ISD,Texas,2037,0.03,0.08,15,1.566,0
SWEETWATER ISD,Texas,2231,0.02,0.13,14.11,0.947,0
TAFT ISD,Texas,1122,0.02,0.1,13.98,0.888,0
TARKINGTON ISD,Texas,1852,0.02,0.1,14.04,0.933,0
TATUM ISD,Texas,1678,0.1,0.08,15.39,0.904,0
TAYLOR ISD,Texas,3203,0.12,0.11,13.43,0.943,0
TEAGUE ISD,Texas,1254,0.06,0.1,12.59,0.862,0
TEMPLE ISD,Texas,8643,0.1,0.1,14.5,0.968,0
TERRELL ISD,Texas,4400,0.18,0.09,16.04,0.892,0
TEXANS CAN ACADEMIES,Texas,5271,0.16,0.08,20.48,0.842,0
TEXARKANA ISD,Texas,7169,0.06,0.09,13.7,0.969,0
TEXAS CITY ISD,Texas,8945,0.07,0.09,16.09,0.991,0
TEXAS COLLEGE PREPARATORY ACADEMIES,Texas,14219,0.1,0.07,19.41,0.897,0
TEXAS LEADERSHIP,Texas,2656,0.04,0.07,14.94,0.829,0
THE RHODES SCHOOL,Texas,1186,0.02,0.08,13.58,0.882,0
THE VARNETT PUBLIC SCHOOL,Texas,1607,0.38,0.03,20.68,0.799,0
TOMBALL ISD,Texas,14932,0.1,0.08,15.99,1.388,0
TORNILLO ISD,Texas,1133,0.48,0.06,13.65,0.815,0
TRINITY BASIN PREPARATORY,Texas,2778,0.51,0.08,17.18,0.866,0
TRINITY ISD,Texas,1252,0.08,0.08,13.83,0.895,0
TROUP ISD,Texas,1085,0.04,0.07,13.33,1.002,0
TROY ISD,Texas,1492,0.03,0.12,14.75,0.886,0
TULIA ISD,Texas,1122,0.06,0.11,11.39,0.973,0
TULOSO-MIDWAY ISD,Texas,3850,0.06,0.09,13.46,0.996,0
TYLER ISD,Texas,18130,0.22,0.07,14.65,1.364,0
UNITED ISD,Texas,43660,0.35,0.08,17.19,1.016,0
UNIVERSAL ACADEMY,Texas,2090,0.29,0.02,17.73,0.888,0
UPLIFT EDUCATION,Texas,15768,0.31,0.07,15.84,0.956,0
UVALDE CISD,Texas,4750,0.06,0.11,14.59,1.01,0
VALLEY VIEW ISD,Texas,4534,0.53,0.07,16.4,0.976,0
VAN ALSTYNE ISD,Texas,1589,0.02,0.09,15.19,1.212,0
VAN ISD,Texas,2352,0.06,0.11,15.76,0.906,0
VAN VLECK ISD,Texas,1046,0.02,0.09,13.41,0.939,0
VANGUARD ACADEMY,Texas,2883,0.32,0.03,16.96,0.727,0
VENUS ISD,Texas,2080,0.22,0.07,15.4,0.826,0
VERNON ISD,Texas,2042,0.1,0.12,12.55,0.896,0
VICTORIA ISD,Texas,14378,0.05,0.1,14.05,0.937,0
VIDOR ISD,Texas,4818,0.01,0.13,14.13,0.968,0
WACO ISD,Texas,15081,0.17,0.07,15.16,0.901,0
WALL ISD,Texas,1115,0.01,0.06,9.81,1.148,0
WALLER ISD,Texas,6874,0.25,0.06,17.21,0.894,0
WARREN ISD,Texas,1273,0.01,0.08,14.34,0.946,0
WAXAHACHIE FAITH FAMILY ACADEMY,Texas,2552,0.5,0.05,18.75,0.804,0
WAXAHACHIE ISD,Texas,8408,0.08,0.12,14.21,1.047,0
WAYSIDE SCHOOLS,Texas,1991,0.24,0.05,15.4,0.706,0
WEATHERFORD ISD,Texas,8021,0.08,0.09,15.5,0.924,0
WESLACO ISD,Texas,17413,0.27,0.08,15.91,0.984,0
WEST ISD,Texas,1332,0.04,0.08,14.33,0.962,0
WEST ORANGE-COVE CISD,Texas,2449,0.06,0.1,14.93,0.857,0
WEST OSO ISD,Texas,2057,0.06,0.11,14.4,0.879,0
WEST RUSK COUNTY CONSOLIDATED ISD,Texas,1075,0.11,0.09,13.6,0.934,0
WESTWOOD ISD,Texas,1600,0.05,0.11,13.06,1.065,0
WHARTON ISD,Texas,2212,0.1,0.09,13.12,0.84,0
WHITE OAK ISD,Texas,1503,0.01,0.09,13.57,0.99,0
WHITE SETTLEMENT ISD,Texas,6797,0.11,0.1,15.97,0.93,0
WHITEHOUSE ISD,Texas,4731,0.03,0.09,15.08,0.944,0
WHITESBORO ISD,Texas,1599,0.04,0.1,14.55,0.829,0
WHITNEY ISD,Texas,1506,0.05,0.12,13.75,1.08,0
WICHITA FALLS ISD,Texas,14120,0.07,0.12,13.68,0.958,0
WILLIS ISD,Texas,7311,0.14,0.08,17.82,0.914,0
WILLS POINT ISD,Texas,2403,0.07,0.11,13.25,0.931,0
WIMBERLEY ISD,Texas,2303,0.06,0.09,14.5,1.415,0
WINFREE ACADEMY CHARTER SCHOOLS,Texas,1429,0.1,0.11,25.69,0.86,0
WINNSBORO ISD,Texas,1494,0.05,0.08,13.84,0.918,0
WINONA ISD,Texas,1037,0.09,0.12,14.48,0.854,0
WOODVILLE ISD,Texas,1305,0.03,0.14,12.2,0.986,0
WYLIE ISD,Texas,15021,0.09,0.1,15.5,0.93,0
WYLIE ISD,Texas,4253,0.01,0.06,16.05,0.885,0
YES PREP PUBLIC SCHOOLS INC,Texas,10258,0.16,0.06,14.89,0.826,0
YOAKUM ISD,Texas,1611,0.15,0.14,10.43,1.449,0
YSLETA ISD,Texas,41536,0.23,0.12,15.31,0.957,0
ZAPATA COUNTY ISD,Texas,3561,0.26,0.1,14.94,1.063,0
ALPINE DISTRICT,Utah,78957,0.04,0.11,21.8,1.038,0
AMERICAN INTERNATIONAL SCHOOL OF UTAH,Utah,1293,0.04,0.14,21.8,5.29,0
AMERICAN LEADERSHIP ACADEMY,Utah,1733,0.08,0.14,21.8,1.052,0
AMERICAN PREPARATORY ACADEMY--LEA,Utah,4267,0.09,0.1,21.8,1.224,0
ASCENT ACADEMIES OF UTAH,Utah,1888,0,0.13,21.8,1.394,0
BEAVER DISTRICT,Utah,1549,0.04,0.14,21.8,0.916,0
BOX ELDER DISTRICT,Utah,11833,0.03,0.13,21.8,0.796,0
CACHE DISTRICT,Utah,17892,0.03,0.14,21.8,1.244,0
CANYONS DISTRICT,Utah,34520,0.05,0.11,21.8,1.024,0
CARBON DISTRICT,Utah,3506,0.02,0.19,21.8,0.865,0
DAVINCI ACADEMY,Utah,1164,0.03,0.12,21.8,1.377,0
DAVIS DISTRICT,Utah,72987,0.03,0.12,21.8,0.93,0
DUCHESNE DISTRICT,Utah,5148,0.01,0.17,21.8,1.36,0
EMERY DISTRICT,Utah,2287,0.02,0.2,21.8,1.037,0
ENTHEOS ACADEMY,Utah,1038,0.14,0.11,21.8,1.082,0
FREEDOM PREPARATORY ACADEMY,Utah,1304,0.11,0.1,21.8,1.236,0
GEORGE WASHINGTON ACADEMY,Utah,1000,0,0.07,21.8,0.969,0
GRAND DISTRICT,Utah,1544,0.07,0.16,21.8,0.793,0
GRANITE DISTRICT,Utah,69580,0.17,0.11,21.8,0.959,0
HAWTHORN ACADEMY,Utah,1520,0.01,0.12,21.8,0.905,0
IRON DISTRICT,Utah,9446,0.03,0.13,21.8,0.841,0
JORDAN DISTRICT,Utah,53416,0.04,0.12,21.8,0.92,0
KANE DISTRICT,Utah,1342,0.01,0.13,21.8,0.893,0
LAKEVIEW ACADEMY,Utah,1018,0.02,0.09,21.8,1.095,0
LEGACY PREPARATORY ACADEMY,Utah,1107,0.02,0.09,21.8,1.232,0
LOGAN CITY DISTRICT,Utah,6002,0.11,0.14,21.8,0.968,0
MILLARD DISTRICT,Utah,2967,0.06,0.16,21.8,0.958,0
MORGAN DISTRICT,Utah,3045,0,0.11,21.8,0.858,0
MURRAY DISTRICT,Utah,6598,0.05,0.13,21.8,0.829,0
NEBO DISTRICT,Utah,33255,0.03,0.14,21.8,0.963,0
NORTH DAVIS PREPARATORY ACADEMY,Utah,1017,0.07,0.08,21.8,1.015,0
NORTH SANPETE DISTRICT,Utah,2532,0.05,0.12,21.8,0.982,0
NORTH SUMMIT DISTRICT,Utah,1068,0.05,0.11,21.8,0.769,0
OGDEN CITY DISTRICT,Utah,12376,0.17,0.13,21.8,1.029,0
OGDEN PREPARATORY ACADEMY,Utah,1102,0.11,0.09,21.8,1.093,0
PARK CITY DISTRICT,Utah,5076,0.08,0.07,21.8,0.818,0
PROVIDENCE HALL,Utah,2149,0,0.12,21.8,1.379,0
PROVO DISTRICT,Utah,18177,0.1,0.1,21.8,0.901,0
SALT LAKE DISTRICT,Utah,23885,0.18,0.12,21.8,0.865,0
SAN JUAN DISTRICT,Utah,3107,0.3,0.14,21.8,0.984,0
SEVIER DISTRICT,Utah,4750,0.01,0.13,21.8,1.282,0
SOUTH SANPETE DISTRICT,Utah,3410,0.04,0.15,21.8,0.925,0
SOUTH SUMMIT DISTRICT,Utah,1618,0.05,0.11,21.8,0.835,0
SUMMIT ACADEMY,Utah,2406,0.02,0.09,21.8,1.095,0
