District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
FREMONT PUBLIC SCHOOL DISTRICT,Michigan,2132,0,0.13,19.38,0.981,0
FRUITPORT COMMUNITY SCHOOLS,Michigan,2819,0.01,0.15,18.67,1.061,0
GALESBURG-AUGUSTA COMMUNITY SCHOOLS,Michigan,1025,0.01,0.11,18.35,0.904,0
GARDEN CITY PUBLIC SCHOOLS,Michigan,3835,0.02,0.18,17.3,1.043,0
GAYLORD COMMUNITY SCHOOLS,Michigan,3075,0,0.1,20,0.914,0
GIBRALTAR SCHOOL DISTRICT,Michigan,3566,0.02,0.14,20.81,0.966,0
GLADSTONE AREA SCHOOLS,Michigan,1646,0,0.09,21.57,0.923,0
GLADWIN COMMUNITY SCHOOLS,Michigan,1691,0,0.16,20.52,0.997,0
GODFREY-LEE PUBLIC SCHOOLS,Michigan,1962,0.47,0.13,17.03,1.071,0
GODWIN HEIGHTS PUBLIC SCHOOLS,Michigan,2203,0.31,0.14,18.24,0.998,0
GOODRICH AREA SCHOOLS,Michigan,2055,0.01,0.09,21.8,0.956,0
GRAND BLANC COMMUNITY SCHOOLS,Michigan,8253,0.03,0.11,19.94,0.979,0
GRAND HAVEN AREA PUBLIC SCHOOLS,Michigan,6167,0.02,0.13,17.5,1.011,0
GRAND LEDGE PUBLIC SCHOOLS,Michigan,5240,0.02,0.14,18.45,0.972,0
GRAND RAPIDS PUBLIC SCHOOLS,Michigan,16417,0.26,0.19,15.31,1.043,0
GRAND TRAVERSE ACADEMY,Michigan,1177,0.02,0.13,17.18,0.907,0
GRANDVILLE PUBLIC SCHOOLS,Michigan,5623,0.03,0.12,19.7,1.171,0
GRANT PUBLIC SCHOOL DISTRICT,Michigan,1832,0.12,0.12,21.06,0.959,0
GRASS LAKE COMMUNITY SCHOOLS,Michigan,1268,0,0.1,17.91,0.942,0
GREENVILLE PUBLIC SCHOOLS,Michigan,3780,0.02,0.14,19.94,0.93,0
GROSSE ILE TOWNSHIP SCHOOLS,Michigan,1915,0.01,0.1,20.52,0.981,0
GROSSE POINTE PUBLIC SCHOOLS,Michigan,7931,0.01,0.13,16.63,0.973,0
GULL LAKE COMMUNITY SCHOOLS,Michigan,3155,0.01,0.08,17.28,0.923,0
HAMILTON COMMUNITY SCHOOLS,Michigan,2701,0.02,0.11,19.21,0.937,0
HAMTRAMCK SCHOOL DISTRICT OF THE CITY OF,Michigan,3139,0.53,0.07,18.73,0.923,0
HANOVER-HORTON SCHOOL DISTRICT,Michigan,1147,0,0.12,21.69,1.007,0
HARPER CREEK COMMUNITY SCHOOLS,Michigan,2784,0.02,0.11,18.02,0.967,0
HARPER WOODS THE SCHOOL DISTRICT OF THE CITY OF,Michigan,1800,0,0.13,21.29,0.972,0
HARRISON COMMUNITY SCHOOLS,Michigan,1399,0,0.16,19.62,0.974,0
HART PUBLIC SCHOOL DISTRICT,Michigan,1348,0.22,0.12,16.36,0.944,0
HARTFORD PUBLIC SCHOOLS,Michigan,1298,0.25,0.11,17.99,1.007,0
HARTLAND CONSOLIDATED SCHOOLS,Michigan,5523,0,0.08,19.95,0.954,0
HASLETT PUBLIC SCHOOLS,Michigan,2765,0.03,0.12,18.31,0.93,0
HASTINGS AREA SCHOOL DISTRICT,Michigan,2708,0.01,0.14,19.94,0.909,0
HAZEL PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,3347,0.07,0.12,17.79,1.023,0
HILLSDALE COMMUNITY SCHOOLS,Michigan,1364,0,0.13,17.5,1.047,0
HOLLAND CITY SCHOOL DISTRICT,Michigan,3604,0.12,0.17,16.42,1.062,0
HOLLY AREA SCHOOL DISTRICT,Michigan,3295,0.02,0.15,17.51,0.953,0
HOLT PUBLIC SCHOOLS,Michigan,5555,0.03,0.13,18.03,0.94,0
HOPKINS PUBLIC SCHOOLS,Michigan,1675,0.01,0.11,20,0.899,0
HOUGHTON-PORTAGE TOWNSHIP SCHOOL DISTRICT,Michigan,1388,0,0.08,17.68,0.914,0
HOWELL PUBLIC SCHOOLS,Michigan,7135,0.01,0.12,18.6,0.873,0
HUDSONVILLE PUBLIC SCHOOL DISTRICT,Michigan,6693,0.01,0.11,18.98,1.275,0
HURON SCHOOL DISTRICT,Michigan,2554,0.01,0.19,18,0.991,0
HURON VALLEY SCHOOLS,Michigan,9130,0.02,0.12,18.54,0.954,0
IDA PUBLIC SCHOOL DISTRICT,Michigan,1457,0,0.11,19.96,1.056,0
IMLAY CITY COMMUNITY SCHOOLS,Michigan,2070,0.13,0.09,22.48,0.932,0
IONIA PUBLIC SCHOOLS,Michigan,2990,0.03,0.17,19.03,0.935,0
ITHACA PUBLIC SCHOOLS,Michigan,1193,0.01,0.16,17.48,0.921,0
JACKSON PUBLIC SCHOOLS,Michigan,5056,0.02,0.15,17.88,0.973,0
JEFFERSON SCHOOLS (MONROE),Michigan,1752,0,0.15,19.42,1.011,0
JENISON PUBLIC SCHOOLS,Michigan,4927,0.01,0.09,16.88,0.967,0
KALAMAZOO PUBLIC SCHOOLS,Michigan,12692,0.07,0.13,17.47,1.121,0
KALKASKA PUBLIC SCHOOLS,Michigan,1562,0,0.14,18.29,0.938,0
KEARSLEY COMMUNITY SCHOOL DISTRICT,Michigan,3015,0.01,0.15,20.66,0.997,0
KELLOGGSVILLE PUBLIC SCHOOLS,Michigan,2248,0.25,0.12,19.43,0.939,0
KENOWA HILLS PUBLIC SCHOOLS,Michigan,3146,0.07,0.14,19.23,0.968,0
KENT CITY COMMUNITY SCHOOLS,Michigan,1308,0.15,0.12,19.53,1.19,0
KENTWOOD PUBLIC SCHOOLS,Michigan,9044,0.2,0.14,19.91,0.961,0
LAINGSBURG COMMUNITY SCHOOLS,Michigan,1123,0,0.09,20.05,0.927,0
LAKE CITY AREA SCHOOL DISTRICT,Michigan,1154,0,0.11,18.14,1.038,0
LAKE FENTON COMMUNITY SCHOOLS,Michigan,2082,0.01,0.1,21.32,0.956,0
LAKE ORION COMMUNITY SCHOOLS,Michigan,7596,0.04,0.11,18.39,1,0
LAKE SHORE PUBLIC SCHOOLS (MACOMB),Michigan,3648,0.03,0.14,18.07,0.961,0
LAKESHORE SCHOOL DISTRICT (BERRIEN),Michigan,2806,0.05,0.1,18.66,1.094,0
LAKEVIEW COMMUNITY SCHOOLS (MONTCALM),Michigan,1142,0.01,0.14,17.3,1.19,0
LAKEVIEW PUBLIC SCHOOLS (MACOMB),Michigan,4243,0.01,0.11,21.32,0.986,0
LAKEVIEW SCH. DISTRICT (CALHOUN),Michigan,4143,0.09,0.11,18.46,0.956,0
LAKEVILLE COMMUNITY SCHOOL DISTRICT,Michigan,1240,0,0.18,19.65,1.151,0
LAKEWOOD PUBLIC SCHOOLS,Michigan,1862,0.01,0.15,20.15,0.947,0
LAMPHERE PUBLIC SCHOOLS,Michigan,2631,0.2,0.14,15.78,0.994,0
L'ANSE CREUSE PUBLIC SCHOOLS,Michigan,10687,0.02,0.12,19.91,1.01,0
LANSING PUBLIC SCHOOL DISTRICT,Michigan,10999,0.17,0.17,16.81,0.966,0
LAPEER COMMUNITY SCHOOLS,Michigan,5072,0.01,0.15,19.78,1.007,0
LAWTON COMMUNITY SCHOOL DISTRICT,Michigan,1004,0.06,0.13,17.24,1.01,0
LESLIE PUBLIC SCHOOLS,Michigan,1284,0,0.14,16.63,0.965,0
LINCOLN CONSOLIDATED SCHOOL DISTRICT,Michigan,3867,0.02,0.21,19.01,1.033,0
LINCOLN PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,4886,0.21,0.16,17.98,0.946,0
LINDEN COMMUNITY SCHOOLS,Michigan,2812,0.01,0.15,20.38,0.974,0
LIVONIA PUBLIC SCHOOLS SCHOOL DISTRICT,Michigan,14336,0.04,0.14,18.82,1.097,0
LOWELL AREA SCHOOLS,Michigan,3876,0.01,0.09,20.08,1.009,0
LUDINGTON AREA SCHOOL DISTRICT,Michigan,2143,0,0.15,18.95,0.935,0
MADISON DISTRICT PUBLIC SCHOOLS,Michigan,1289,0.11,0.11,16.63,1.427,0
MADISON SCHOOL DISTRICT (LENAWEE),Michigan,1602,0.01,0.13,16.68,0.982,0
MANCHESTER COMMUNITY SCHOOLS,Michigan,1026,0,0.1,20.52,0.952,0
MARQUETTE AREA PUBLIC SCHOOLS,Michigan,3192,0,0.16,17.18,0.921,0
MARSHALL PUBLIC SCHOOLS,Michigan,2903,0,0.14,17.99,0.923,0
MARYSVILLE PUBLIC SCHOOLS,Michigan,2768,0,0.1,20.53,1.004,0
MASON CONSOLIDATED SCHOOLS (MONROE),Michigan,1088,0,0.12,16.97,0.96,0
MASON COUNTY CENTRAL SCHOOLS,Michigan,1290,0.03,0.15,21.62,0.913,0
MASON PUBLIC SCHOOLS (INGHAM),Michigan,3160,0.01,0.11,18.2,0.927,0
MATTAWAN CONSOLIDATED SCHOOL,Michigan,3792,0.01,0.09,19.61,0.98,0
MCBAIN RURAL AGRICULTURAL SCHOOLS,Michigan,1009,0.04,0.08,18.51,0.664,0
MELVINDALE-NORTH ALLEN PARK SCHOOLS,Michigan,2918,0.48,0.09,20.92,0.979,0
MENOMINEE AREA PUBLIC SCHOOLS,Michigan,1395,0,0.12,17.1,0.917,0
MICHIGAN CENTER SCHOOL DISTRICT,Michigan,1393,0,0.15,17.32,1.023,0
MICHIGAN CONNECTIONS ACADEMY,Michigan,1693,0.01,0.16,25.35,0.999,0
MICHIGAN GREAT LAKES VIRTUAL ACADEMY,Michigan,2715,0.01,0.15,27.83,1.009,0
MICHIGAN VIRTUAL CHARTER ACADEMY,Michigan,2789,0.02,0.16,22.05,1.035,0
MIDLAND PUBLIC SCHOOLS,Michigan,7643,0.01,0.15,19.05,1.003,0
MILAN AREA SCHOOLS,Michigan,2231,0.01,0.14,19.06,0.958,0
MONA SHORES PUBLIC SCHOOL DISTRICT,Michigan,3871,0.01,0.09,19.46,0.91,0
MONROE PUBLIC SCHOOLS,Michigan,5426,0.03,0.14,19.51,0.974,0
MONTAGUE AREA PUBLIC SCHOOLS,Michigan,1503,0.03,0.16,19.71,0.973,0
MONTROSE COMMUNITY SCHOOLS,Michigan,1422,0,0.14,18.66,0.941,0
MOUNT CLEMENS COMMUNITY SCHOOL DISTRICT,Michigan,1080,0.02,0.27,18.49,0.871,0
MT. MORRIS CONSOLIDATED SCHOOLS,Michigan,2041,0.01,0.2,17.39,1.089,0
MT. PLEASANT CITY SCHOOL DISTRICT,Michigan,3588,0.01,0.18,15.53,0.905,0
MUSKEGON PUBLIC SCHOOLS OF THE CITY OF,Michigan,3985,0.05,0.12,18.03,0.987,0
NEW HAVEN COMMUNITY SCHOOLS,Michigan,1285,0.04,0.18,18.56,1.088,0
NEWAYGO PUBLIC SCHOOL DISTRICT,Michigan,1603,0.05,0.11,20.39,0.947,0
NILES COMMUNITY SCHOOLS,Michigan,3714,0.03,0.14,18.37,0.975,0
NORTHVIEW PUBLIC SCHOOLS,Michigan,3392,0.02,0.13,17.74,1.143,0
NORTHVILLE PUBLIC SCHOOLS,Michigan,7401,0.06,0.08,18.45,0.912,0
NORTHWEST COMMUNITY SCHOOLS,Michigan,3271,0.01,0.12,18.83,0.967,0
NOVI COMMUNITY SCHOOL DISTRICT,Michigan,6501,0.16,0.07,16.04,1.014,0
OAK PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,4966,0.02,0.08,21.55,0.868,0
OAKRIDGE PUBLIC SCHOOLS,Michigan,2034,0.01,0.12,18.13,0.925,0
OKEMOS PUBLIC SCHOOLS,Michigan,4304,0.04,0.09,16.73,1.024,0
OLD REDFORD ACADEMY,Michigan,2090,0,0.09,22.47,1.031,0
ONSTED COMMUNITY SCHOOLS,Michigan,1388,0.02,0.13,19.1,0.949,0
ORCHARD VIEW SCHOOLS,Michigan,2621,0,0.14,18.57,1.041,0
OSCODA AREA SCHOOLS,Michigan,1151,0,0.16,16.49,0.978,0
OTSEGO PUBLIC SCHOOLS,Michigan,2337,0,0.08,20.08,0.954,0
OVID-ELSIE AREA SCHOOLS,Michigan,1569,0.02,0.1,21.95,0.955,0
OWOSSO PUBLIC SCHOOLS,Michigan,3171,0,0.15,19.05,0.949,0
OXFORD COMMUNITY SCHOOLS,Michigan,5265,0.04,0.1,18.21,0.956,0
PARCHMENT SCHOOL DISTRICT,Michigan,1631,0.01,0.13,19.17,1.152,0
PAW PAW PUBLIC SCHOOL DISTRICT,Michigan,2214,0.03,0.12,18.32,0.968,0
PENNFIELD SCHOOLS,Michigan,2201,0,0.11,19.39,0.938,0
PINCKNEY COMMUNITY SCHOOLS,Michigan,2977,0,0.12,18.88,0.92,0
PINCONNING AREA SCHOOLS,Michigan,1320,0,0.14,20.31,0.992,0
PLAINWELL COMMUNITY SCHOOLS,Michigan,2782,0.01,0.08,19.35,0.961,0
PLYMOUTH-CANTON COMMUNITY SCHOOLS,Michigan,17394,0.06,0.1,20.48,1.128,0
PONTIAC ACADEMY FOR EXCELLENCE,Michigan,1003,0.24,0.12,20.06,1.004,0
PONTIAC CITY SCHOOL DISTRICT,Michigan,4136,0.24,0.19,16.37,0.991,0
PORT HURON AREA SCHOOL DISTRICT,Michigan,8742,0.01,0.13,17.83,1.014,0
PORTAGE PUBLIC SCHOOLS,Michigan,8635,0.04,0.09,18.47,0.928,0
PUBLIC SCHOOLS OF CALUMET LAURIUM & KEWEENAW,Michigan,1553,0,0.09,17.53,0.974,0
PUBLIC SCHOOLS OF PETOSKEY,Michigan,2862,0,0.11,18.93,0.978,0
RAVENNA PUBLIC SCHOOLS,Michigan,1062,0.02,0.12,17.38,0.999,0
REDFORD UNION SCHOOLS DISTRICT NO. 1,Michigan,2948,0.02,0.22,18.84,0.945,0
REED CITY AREA PUBLIC SCHOOLS,Michigan,1589,0,0.15,18.87,0.886,0
REETHS-PUFFER SCHOOLS,Michigan,3819,0,0.14,18.66,0.985,0
RICHMOND COMMUNITY SCHOOLS,Michigan,1450,0.03,0.11,18.98,1.361,0
RIVER ROUGE SCHOOL DISTRICT OF THE CITY OF,Michigan,2002,0.05,0.14,23.55,0.852,0
RIVERVIEW COMMUNITY SCHOOL DISTRICT,Michigan,2804,0.01,0.09,22.06,0.998,0
ROCHESTER COMMUNITY SCHOOL DISTRICT,Michigan,15162,0.07,0.11,19.38,0.896,0
ROCKFORD PUBLIC SCHOOLS,Michigan,7888,0,0.07,18.63,1.002,0
ROMEO COMMUNITY SCHOOLS,Michigan,5203,0.07,0.12,19.65,1.004,0
ROMULUS COMMUNITY SCHOOLS,Michigan,2932,0.01,0.15,19.06,1.022,0
ROSEVILLE COMMUNITY SCHOOLS,Michigan,4774,0.03,0.17,17.79,0.976,0
ROYAL OAK SCHOOLS,Michigan,4967,0.03,0.13,17.81,0.934,0
SAGINAW SCHOOL DISTRICT OF THE CITY OF,Michigan,6044,0.05,0.14,17.44,0.914,0
SAGINAW TOWNSHIP COMMUNITY SCHOOLS,Michigan,4955,0.03,0.14,20.01,1.004,0
SALINE AREA SCHOOLS,Michigan,5260,0.02,0.13,18.97,0.885,0
SAULT STE. MARIE AREA SCHOOLS,Michigan,2244,0,0.14,18.41,1.039,0
SCHOOLCRAFT COMMUNITY SCHOOLS,Michigan,1082,0,0.09,19.15,0.908,0
SHELBY PUBLIC SCHOOLS,Michigan,1298,0.26,0.16,18.37,0.947,0
SOUTH HAVEN PUBLIC SCHOOLS,Michigan,2052,0.12,0.15,15.77,0.922,0
SOUTH LAKE SCHOOLS,Michigan,1720,0.01,0.13,18.27,1.127,0
SOUTH LYON COMMUNITY SCHOOLS,Michigan,8340,0.03,0.12,18.58,0.879,0
SOUTH REDFORD SCHOOL DISTRICT,Michigan,3290,0.02,0.14,19.61,0.931,0
SOUTHFIELD PUBLIC SCHOOL DISTRICT,Michigan,6290,0.04,0.13,15.9,1.026,0
SOUTHGATE COMMUNITY SCHOOL DISTRICT,Michigan,4061,0.03,0.2,18.49,0.916,0
SPARTA AREA SCHOOLS,Michigan,2563,0.1,0.14,19.62,0.974,0
SPRING LAKE PUBLIC SCHOOLS,Michigan,2487,0,0.09,19.24,1.309,0
ST. JOHNS PUBLIC SCHOOLS,Michigan,2943,0.01,0.11,19.27,0.943,0
ST. JOSEPH PUBLIC SCHOOLS,Michigan,3004,0.03,0.08,21.83,0.975,0
ST. LOUIS PUBLIC SCHOOLS,Michigan,1050,0.02,0.15,17.95,1.08,0
STAR INTERNATIONAL ACADEMY,Michigan,1500,0.47,0.04,16.41,0.928,0
STOCKBRIDGE COMMUNITY SCHOOLS,Michigan,1376,0.01,0.12,17.64,0.934,0
STURGIS PUBLIC SCHOOLS,Michigan,3301,0.2,0.08,19.22,0.961,0
SUMMIT ACADEMY NORTH,Michigan,1916,0.04,0.1,21.87,0.949,0
SWAN VALLEY SCHOOL DISTRICT,Michigan,1779,0,0.13,19.5,1.304,0
SWARTZ CREEK COMMUNITY SCHOOLS,Michigan,3830,0.01,0.13,20.03,1.029,0
TAWAS AREA SCHOOLS,Michigan,1243,0,0.11,20.13,0.963,0
TAYLOR SCHOOL DISTRICT,Michigan,6715,0.04,0.19,17.33,0.962,0
THORNAPPLE KELLOGG SCHOOL DISTRICT,Michigan,3062,0.02,0.11,21.02,0.986,0
THREE RIVERS COMMUNITY SCHOOLS,Michigan,2629,0.03,0.1,18.11,0.943,0
TRAVERSE CITY AREA PUBLIC SCHOOLS,Michigan,9542,0.03,0.12,19.94,0.965,0
TRENTON PUBLIC SCHOOLS,Michigan,2564,0.01,0.17,16.44,0.987,0
TRI COUNTY AREA SCHOOLS,Michigan,2033,0.01,0.16,19.75,0.973,0
TROY SCHOOL DISTRICT,Michigan,12940,0.16,0.09,16.63,1.073,0
UTICA COMMUNITY SCHOOLS,Michigan,27718,0.11,0.12,19.88,1.009,0
VAN BUREN PUBLIC SCHOOLS,Michigan,4680,0.02,0.14,18.98,0.961,0
VAN DYKE PUBLIC SCHOOLS,Michigan,2591,0.03,0.19,18.35,1.007,0
VANDERCOOK LAKE PUBLIC SCHOOLS,Michigan,1206,0,0.13,17.4,0.988,0
VICKSBURG COMMUNITY SCHOOLS,Michigan,2674,0.01,0.1,18.98,1.03,0
VOYAGEUR ACADEMY,Michigan,1195,0.15,0.07,25.98,0.981,0
WALLED LAKE CONSOLIDATED SCHOOLS,Michigan,14185,0.1,0.12,20.07,1.045,0
WARREN CONSOLIDATED SCHOOLS,Michigan,14355,0.27,0.11,19.36,0.959,0
WARREN WOODS PUBLIC SCHOOLS,Michigan,3227,0.1,0.16,18.67,0.909,0
WATERFORD SCHOOL DISTRICT,Michigan,9277,0.08,0.16,16.88,0.997,0
WATERVLIET SCHOOL DISTRICT,Michigan,1446,0.08,0.11,18.8,1.17,0
WAVERLY COMMUNITY SCHOOLS,Michigan,2878,0.03,0.16,18.68,1.013,0
WAYLAND UNION SCHOOLS,Michigan,2994,0,0.11,19.32,0.958,0
WAYNE-WESTLAND COMMUNITY SCHOOL DISTRICT,Michigan,11564,0.03,0.16,18.12,0.977,0
WEST BLOOMFIELD SCHOOL DISTRICT,Michigan,5527,0.11,0.13,18.56,0.904,0
WEST OTTAWA PUBLIC SCHOOL DISTRICT,Michigan,6804,0.18,0.1,16.79,0.922,0
WESTERN SCHOOL DISTRICT,Michigan,2931,0,0.13,20.38,0.982,0
WESTWOOD COMMUNITY SCHOOL DISTRICT,Michigan,1877,0.03,0.18,17.81,0.919,0
WESTWOOD HEIGHTS SCHOOLS,Michigan,1481,0,0.09,21.85,0.935,0
WHITEHALL DISTRICT SCHOOLS,Michigan,2167,0,0.11,15.16,1.074,0
WILLIAMSTON COMMUNITY SCHOOLS,Michigan,1789,0,0.11,18.71,0.935,0
WOODHAVEN-BROWNSTOWN SCHOOL DISTRICT,Michigan,5343,0.05,0.13,18.04,0.953,0
WYANDOTTE SCHOOL DISTRICT OF THE CITY OF,Michigan,4595,0.03,0.23,16.62,1.203,0
WYOMING PUBLIC SCHOOLS,Michigan,4308,0.21,0.14,19.24,0.927,0
YALE PUBLIC SCHOOLS,Michigan,1907,0,0.12,20.31,0.982,0
YPSILANTI COMMUNITY SCHOOLS,Michigan,3791,0.07,0.19,15.8,0.974,0
ZEELAND PUBLIC SCHOOLS,Michigan,5978,0.04,0.12,18.36,0.957,0
ASBURY PARK SCHOOL DISTRICT,New Jersey,2366,0.07,0.2,10.93,1.019,0
ATLANTIC CITY SCHOOL DISTRICT,New Jersey,7142,0.14,0.14,11.79,0.971,0
AUDUBON PUBLIC SCHOOL DISRICT,New Jersey,1571,0,0.2,12,0.981,0
BARNEGAT TOWNSHIP SCHOOL DISTRICT,New Jersey,3149,0.01,0.18,11.16,0.934,0
BAYONNE SCHOOL DISTRICT,New Jersey,9859,0.04,0.15,13.09,1.122,0
BELLEVILLE PUBLIC SCHOOLS,New Jersey,4549,0.05,0.18,13.64,0.93,0
BELLMAWR PUBLIC SCHOOL DISTRICT,New Jersey,1219,0.04,0.12,13.93,0.911,0
BERGEN ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,1126,0.04,0.04,13.9,1.009,0
BERGEN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,2105,0.01,0.16,9.24,1.007,0
BERGENFIELD BOROUGH SCHOOL DISTRICT,New Jersey,3550,0.06,0.17,12.98,0.994,0
BERKELEY HEIGHTS SCHOOL DISTRICT,New Jersey,2712,0.01,0.14,12,0.971,0
BERKELEY TOWNSHIP SCHOOL DISTRICT,New Jersey,2139,0.01,0.23,12.06,0.958,0
BERNARDS TOWNSHIP SCHOOL DISTRICT,New Jersey,5545,0.01,0.15,11.7,0.94,0
BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT,New Jersey,3754,0.01,0.19,13.53,0.96,0
BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,6438,0.04,0.16,12.56,0.897,0
BOGOTA PUBLIC SCHOOL DISTRICT,New Jersey,1120,0.04,0.2,12.49,0.936,0
BOONTON TOWN SCHOOL DISTRICT,New Jersey,1407,0.04,0.2,11.44,0.962,0
BORDENTOWN REGIONAL SCHOOL DISTRICT,New Jersey,2525,0.02,0.2,13.69,0.939,0
BOUND BROOK SCHOOL DISTRICT,New Jersey,1941,0.13,0.13,12.77,1.121,0
BRANCHBURG TOWNSHIP SCHOOL DISTRICT,New Jersey,1471,0.02,0.14,9.8,0.998,0
BRICK TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,8912,0.03,0.22,11.69,0.989,0
BRIDGETON CITY SCHOOL DISTRICT,New Jersey,6324,0.18,0.09,13.82,1.161,0
BRIDGEWATER-RARITAN REGIONAL SCHOOL DISTRICT,New Jersey,8625,0.02,0.17,11.19,0.966,0
BUENA REGIONAL SCHOOL DISTRICT,New Jersey,1875,0.01,0.27,15.89,1.044,0
BURLINGTON CITY PUBLIC SCHOOL DISTRICT,New Jersey,1755,0.03,0.23,10.13,0.976,0
BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY,New Jersey,2016,0,0.2,12.96,0.975,0
BURLINGTON TOWNSHIP BOARD OF EDUCATION,New Jersey,3933,0.03,0.16,12.32,0.996,0
BUTLER PUBLIC SCHOOL DISTRICT,New Jersey,1236,0.03,0.24,12.11,0.945,0
CALDWELL-WEST CALDWELL SCHOOL DISTRICT,New Jersey,2658,0.01,0.19,12.41,0.993,0
CAMDEN CITY PUBLIC SCHOOLS,New Jersey,9806,0.08,0.18,11.43,1.011,0
CAMDEN COUNTY TECHNICAL SCHOOL DISTRICT,New Jersey,2012,0,0.19,10.58,0.935,0
CARTERET PUBLIC SCHOOL DISTRICT,New Jersey,3774,0.08,0.13,12.65,0.972,0
CEDAR GROVE TOWNSHIP SCHOOL DISTRICT,New Jersey,1643,0.01,0.18,11.53,0.987,0
CENTRAL REGIONAL SCHOOL DISTRICT,New Jersey,2112,0.01,0.21,13.82,1.02,0
CHERRY HILL SCHOOL DISTRICT,New Jersey,11174,0.02,0.2,13.24,1.001,0
CHESTER SCHOOL DISTRICT,New Jersey,1118,0.03,0.18,10.26,0.936,0
CINNAMINSON TOWNSHIP PUBLIC SCHOOLS,New Jersey,2518,0.02,0.17,11.81,1.035,0
CLARK TOWNSHIP PUBLIC SCHOOLS,New Jersey,2331,0.01,0.2,12.91,0.944,0
CLAYTON PUBLIC SCHOOL DISTRICT,New Jersey,1462,0.04,0.2,12.69,1.039,0
CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT,New Jersey,2384,0,0.14,13.76,0.939,0
CLIFFSIDE PARK SCHOOL DISTRICT,New Jersey,3128,0.09,0.17,13.14,0.983,0
CLIFTON PUBLIC SCHOOL DISTRICT,New Jersey,11046,0.07,0.17,13.51,1.002,0
CLINTON TOWNSHIP SCHOOL DISTRICT,New Jersey,1332,0,0.2,9.31,0.942,0
CLOSTER PUBLIC SCHOOL DISTRICT,New Jersey,1125,0.08,0.14,12.3,0.988,0
COLLINGSWOOD PUBLIC SCHOOL DISTRICT,New Jersey,1911,0.02,0.18,10.73,1.003,0
CRANFORD PUBLIC SCHOOL DISTRICT,New Jersey,3880,0,0.19,11.6,0.983,0
CRESSKILL PUBLIC SCHOOL DISTRICT,New Jersey,1821,0.06,0.15,13.17,0.937,0
CUMBERLAND REGIONAL SCHOOL DISTRICT,New Jersey,1231,0,0.18,15.29,0.989,0
DELRAN TOWNSHIP SCHOOL DISTRICT,New Jersey,3042,0.06,0.19,13.27,0.977,0
DELSEA REGIONAL HIGH SCHOOL DISTRICT,New Jersey,1636,0,0.17,12.78,0.83,0
DENVILLE TOWNSHIP K-8 SCHOOL DISTRICT,New Jersey,1653,0.01,0.2,11.06,0.99,0
DEPTFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,4424,0.02,0.2,12.97,1.003,0
DOVER PUBLIC SCHOOL DISTRICT,New Jersey,3290,0.08,0.14,15.37,0.988,0
DUMONT PUBLIC SCHOOL DISTRICT,New Jersey,2539,0.03,0.15,11.91,0.98,0
DUNELLEN PUBLIC SCHOOL DISTRICT,New Jersey,1206,0.03,0.14,12.5,0.984,0
EAST BRUNSWICK TOWNSHIP SCHOOL DISTRICT,New Jersey,8008,0.03,0.15,11.52,0.938,0
EAST ORANGE SCHOOL DISTRICT,New Jersey,10028,0.04,0.14,12.52,0.999,0
EAST WINDSOR REGIONAL SCHOOL DISTRICT,New Jersey,5339,0.1,0.13,12.5,1.001,0
EASTERN CAMDEN COUNTY REGIONAL SCHOOL DISTRICT,New Jersey,2048,0.01,0.13,14.4,0.955,0
EATONTOWN PUBLIC SCHOOL DISTRICT,New Jersey,1046,0.06,0.31,10.2,0.948,0
EDISON TOWNSHIP SCHOOL DISTRICT,New Jersey,15687,0.03,0.12,13.86,0.962,0
EGG HARBOR TOWNSHIP SCHOOL DISTRICT,New Jersey,7503,0.02,0.14,12.24,0.958,0
ELIZABETH PUBLIC SCHOOLS,New Jersey,27954,0.17,0.12,13.35,0.99,0
ELMWOOD PARK SCHOOL DISTRICT,New Jersey,2716,0.04,0.17,15.77,0.811,0
EMERSON PUBLIC SCHOOL DISTRICT,New Jersey,1170,0.01,0.16,11.85,1.039,0
ENGLEWOOD PUBLIC SCHOOL DISTRICT,New Jersey,3145,0.07,0.17,10.92,0.998,0
ESSEX COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,2112,0.06,0.1,11.34,0.821,0
EVESHAM TOWNSHIP SCHOOL DISTRICT,New Jersey,4469,0.01,0.23,12.23,0.938,0
EWING TOWNSHIP SCHOOL DISTRICT,New Jersey,3642,0.03,0.2,10.91,0.924,0
FAIR HAVEN SCHOOL DISTRICT,New Jersey,1019,0,0.13,12.61,0.912,0
FAIR LAWN PUBLIC SCHOOL DISTRICT,New Jersey,4943,0.04,0.22,12.34,0.954,0
